example_idx,datatype,task_txt,program1_idx,plan1_grid_path,program2_idx,plan2_grid_path
16,wikihow,Task: How to Cook White Cabbage,31,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,32,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
17,wikihow,Task: How to Cook Dungeness Crab,33,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,34,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_4.png
18,wikihow,Task: How to Cook Dungeness Crab,35,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,36,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4.png
19,wikihow,Task: How to Cook Dungeness Crab,37,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,38,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_4.png
20,wikihow,Task: How to Cook Dungeness Crab,39,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,40,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
21,recipeqa,Task: How to make mexican sweet bread pan dulce.,41,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,42,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_0.png
22,recipeqa,Task: How to make mexican sweet bread pan dulce.,43,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,44,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0.png
23,recipeqa,Task: How to make mexican sweet bread pan dulce.,45,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,46,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_0.png
24,recipeqa,Task: How to make mexican sweet bread pan dulce.,47,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,48,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
25,recipeqa,Task: How to make amazing and easy bread from spent grains.,49,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,50,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_1.png
26,recipeqa,Task: How to make amazing and easy bread from spent grains.,51,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,52,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1.png
27,recipeqa,Task: How to make amazing and easy bread from spent grains.,53,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,54,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_1.png
28,recipeqa,Task: How to make amazing and easy bread from spent grains.,55,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,56,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
29,recipeqa,Task: How to make traditional szechuan chicken.,57,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,58,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_2.png
30,recipeqa,Task: How to make traditional szechuan chicken.,59,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,60,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2.png
31,recipeqa,Task: How to make traditional szechuan chicken.,61,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,62,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_2.png
32,recipeqa,Task: How to make traditional szechuan chicken.,63,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,64,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_2.png
33,recipeqa,Task: How to make blackened chicken 1.,65,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,66,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_3.png
34,recipeqa,Task: How to make blackened chicken 1.,67,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,68,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3.png
35,recipeqa,Task: How to make blackened chicken 1.,69,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,70,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_3.png
36,recipeqa,Task: How to make blackened chicken 1.,71,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,72,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
37,recipeqa,Task: How to make ice cream cake pops 1.,73,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,74,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/c-plan/plan_grid_task_4.png
38,recipeqa,Task: How to make ice cream cake pops 1.,75,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,76,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4.png
39,recipeqa,Task: How to make ice cream cake pops 1.,77,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,78,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/tgt-u-plan/plan_grid_task_4.png
40,recipeqa,Task: How to make ice cream cake pops 1.,79,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,80,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
